Title;Boxoffice;Genres;sentiment_Avg;magnitude_Avg;sentiment_pos_percentage;sentiment_neg_percentage;Tweets;magnitude_std;score_std
Bombshell;10264578;Biografia, Dramma;0,181540244;0,409908223;0,842105263;0,157894737;266;0,3361;0,3338
Cats;11648480;Commedia, Dramma, Per famiglie, Fantasy, Musical;0,14977504;0,39371297;0,840659341;0,159340659;532;0,3315;0,3111
Star Wars: The Rise of Skywalker;203859471;Azione, Avventura, Fantasy, Sci-fi;0,17143867;0,472759034;0,825832698;0,174167302;7866;0,2894;0,3128
Little Women;33987902;Dramma, Romantico;0,168873956;0,346400399;0,910979228;0,089020772;364;0,3085;0,2854
Spies in Disguise;27758105;Animazione, Azione, Avventura, Commedia, Per famiglie, Sci-fi;0,048809344;0,408084058;0,746240602;0,253759398;419;0,3481;0,3107
Uncut Gems;18538989;Giallo, Dramma, Mystery, Thriller;0,204805302;0,421206772;0,899761337;0,100238663;578;0,337;0,3406
The Grudge;7825236;Horror, Mystery;-0,033914605;0,413210954;0,648421053;0,351578947;475;0,3422;0,36
1917;39828685;Dramma, Guerra;0,188203792;0,419825446;0,893782383;0,106217617;386;0,3386;0,2995
Just Mercy;9900371;Dramma;0,134017812;0,433535959;0,813148789;0,186851211;674;0,3482;0,3017
Like a Boss;8207531;Commedia;0,208942687;0,416683904;0,923076923;0,076923077;65;0,3606;0,2787
Underwater;6441981;Azione, Dramma, Horror, Mystery, Sci-fi, Thriller;0,167024539;0,440199436;0,854794521;0,145205479;365;0,3101;0,3368
