,Genres_eng,Genres_ita
0,"Biography, Drama","Biografia, Dramma"
1,"Comedy, Drama, Family, Fantasy, Musical","Commedia, Dramma, Per famiglie, Fantasy, Musical"
2,"Action, Adventure, Fantasy, Sci-Fi","Azione, Avventura, Fantasy, Sci-fi"
3,"Drama, Romance","Dramma, Romantico"
4,"Animation, Action, Adventure, Comedy, Family, Sci-Fi","Animazione, Azione, Avventura, Commedia, Per famiglie, Sci-fi"
5,"Crime, Drama, Mystery, Thriller","Giallo, Dramma, Mystery, Thriller"
6,"Horror, Mystery","Horror, Mystery"
7,"Drama, War","Dramma, Guerra"
8,Drama,Dramma
9,Comedy,Commedia
10,"Action, Drama, Horror, Mystery, Sci-Fi, Thriller	","Azione, Dramma, Horror, Mystery, Sci-fi, Thriller"
